Afghanistan	Sudan	2754
Afghanistan	Spain	2851
Afghanistan	United Arab Emirates	4255
Albania	Canada	3
Albania	Czech Republic	26105
Albania	France	1391
Albania	Germany	16706770
Albania	Greece	20367
Albania	Hungary	3000
Albania	India	87485545
Albania	Italy	128394825
Albania	Malta	6024417
Albania	Montenegro	2516578
Albania	Netherlands	72
Albania	Poland	15590
Albania	Romania	14
Albania	Senegal	74604
Albania	Spain	87959311
Albania	Micronesia, Federated States of	3030
Algeria	Australia	290768599
Algeria	Austria	197845227
Algeria	Belgium	1852843378
Algeria	Brazil	2770090193
Algeria	Burkina Faso	30531
Algeria	Canada	5537677149
Algeria	China	1952869808
Algeria	Costa Rica	67441432
Algeria	Ivory Coast (C_te d'Ivoire)	4183243
Algeria	Czech Republic	5
Algeria	Denmark	142860641
Algeria	France	3432258723
Algeria	Germany	2717382830
Algeria	Greece	77009991
Algeria	India	1843172984
Algeria	Indonesia	328071940
Algeria	Ireland	37812767
Algeria	Italy	984597292
Algeria	Japan	191677238
Algeria	Lebanon	34172
Algeria	Mali	19064
Algeria	Malta	16597
Algeria	Mexico	13918514
Algeria	Nepal	1139695
Algeria	Netherlands	3365683649
Algeria	Nigeria	308887496
Algeria	Norway	34232205
Algeria	Portugal	991311382
Algeria	Korea, South	127034101
Algeria	Singapore	6010324
Algeria	South Africa	31475706
Algeria	Spain	1642194636
Algeria	Switzerland	644447492
Algeria	Thailand	69595494
Algeria	Tunisia	33905370
Algeria	Turkey	148636780
Algeria	United States of America	14470243078
Algeria	United Kingdom	2225528871
American Samoa	Samoa	4411
Andorra	Malawi	46407
Andorra	Malaysia	35062
Andorra	Mauritania	4758
Andorra	Mozambique	1000
Andorra	Nigeria	195325
Andorra	Moldova	897443
Andorra	Samoa	1405
Andorra	Thailand	64
Angola	Argentina	595
Angola	Belgium	26227280
Angola	Brazil	301842325
Angola	Canada	2469326199
Angola	China	24809999280
Angola	France	1743847255
Angola	Germany	1220455034
Angola	Ghana	551
Angola	India	5945004594
Angola	Indonesia	110611234
Angola	Italy	2052527524
Angola	Japan	26553004
Angola	Lithuania	30415233
Angola	Mexico	23690910
Angola	Namibia	60634
Angola	Netherlands	923166071
Angola	Niger	271283
Angola	Nigeria	10328779
Angola	Peru	699373032
Angola	Portugal	1628464552
Angola	Sao Tome and Principe	14110084
Angola	South Africa	1568228301
Angola	Spain	553350887
Angola	United States of America	13661643943
Angola	United Kingdom	420730740
Anguilla	Israel	37000
Antigua and Barbuda	Barbados	693
Antigua and Barbuda	Cameroon	4538506
Antigua and Barbuda	Germany	78808
Antigua and Barbuda	Guyana	708341
Antigua and Barbuda	India	3504
Antigua and Barbuda	Montserrat	2351
Antigua and Barbuda	Nigeria	5467305
Antigua and Barbuda	Saint Kitts and Nevis	124
Antigua and Barbuda	Saint Vincent and the Grenadines	10902091
Antigua and Barbuda	South Africa	62465031
Antigua and Barbuda	Suriname	19479339
Argentina	Argentina	22339
Argentina	Australia	65524
Argentina	Belgium	1815
Argentina	Belize	10644
Argentina	Bolivia	149811580
Argentina	Brazil	1082584013
Argentina	Canada	3523
Argentina	Chile	673035057
Argentina	China	319429228
Argentina	Colombia	14863819
Argentina	Costa Rica	587505
Argentina	Dominican Republic	3821835
Argentina	Ecuador	10058804
Argentina	El Salvador	178591
Argentina	France	15306
Argentina	Guatemala	28839
Argentina	India	47457
Argentina	Jamaica	16220
Argentina	Japan	4421
Argentina	Maldives	206684
Argentina	Mauritius	33655
Argentina	Mexico	1054
Argentina	Nepal	93415
Argentina	Netherlands	847
Argentina	Nicaragua	84261
Argentina	Nigeria	423654
Argentina	Panama	76624
Argentina	Paraguay	532350396
Argentina	Peru	599004
Argentina	Korea, South	13
Argentina	Slovenia	7935
Argentina	Spain	5191
Argentina	United States of America	1169480484
Argentina	United Kingdom	21029
Argentina	Tanzania	459
Argentina	Uruguay	80365640
Argentina	Venezuela	3440
Armenia	Georgia	584
